Reach to Deadlock States:
----------------------------------------------------------------------
| No. | State       | Previous State | Transition           |
| 79  | (6, 6, 4, 0) | (6, 6, 3, 0) | t(3,4)               |
| 80  | (6, 6, 4, 1) | (5, 6, 3, 0) | t(4,1)               |
| 81  | (6, 6, 5, 0) | (6, 6, 4, 0) | t(3,5)               |
| 82  | (6, 6, 5, 1) | (6, 6, 4, 0) | t(4,1)               |
| 83  | (6, 7, 4, 0) | (5, 6, 3, 5) | t(4,0)               |
| 84  | (6, 7, 4, 1) | (5, 6, 3, 1) | t(3,4)               |
| 85  | (6, 7, 5, 0) | (5, 6, 4, 5) | t(4,0)               |
| 86  | (6, 7, 5, 1) | (5, 6, 4, 0) | t(4,1)               |
| 87  | (6, 7, 5, 2) | (5, 6, 4, 1) | t(4,2)               |
| 88  | (6, 7, 0, 1) | (5, 6, 5, 0) | t(4,1)               |
| 89  | (6, 7, 0, 2) | (5, 6, 5, 2) | t(3,0)               |
| 90  | (6, 8, 5, 1) | (5, 7, 5, 1) | t(2,8)               |
| 91  | (6, 8, 5, 2) | (5, 7, 5, 2) | t(2,8)               |
| 92  | (6, 8, 0, 1) | (5, 7, 0, 0) | t(4,1)               |
| 93  | (6, 8, 0, 2) | (5, 7, 0, 1) | t(4,2)               |
| 94  | (7, 7, 5, 1) | (6, 6, 4, 1) | t(3,5)               |
| 95  | (7, 7, 5, 2) | (6, 7, 4, 1) | t(4,2)               |
| 96  | (7, 7, 0, 1) | (7, 7, 5, 0) | t(4,1)               |
| 97  | (7, 7, 0, 2) | (6, 7, 5, 2) | t(3,0)               |
| 98  | (7, 8, 5, 1) | (6, 7, 4, 0) | t(4,1)               |
| 99  | (7, 8, 5, 2) | (6, 7, 4, 2) | t(3,5)               |
| 100 | (7, 8, 0, 1) | (6, 7, 5, 0) | t(4,1)               |
| 101 | (7, 8, 0, 2) | (6, 7, 5, 1) | t(4,2)               |
| 102 | (7, 8, 0, 3) | (7, 8, 5, 3) | t(3,0)               |
| 103 | (7, 8, 1, 2) | (6, 7, 1, 2) | t(2,8)               |
| 104 | (7, 8, 1, 3) | (7, 8, 0, 3) | t(3,1)               |
| 105 | (7, 0, 0, 2) | (6, 8, 5, 1) | t(4,2)               |
| 106 | (7, 0, 0, 3) | (6, 8, 5, 2) | t(4,3)               |
| 107 | (7, 0, 1, 2) | (6, 8, 0, 1) | t(4,2)               |
| 108 | (7, 0, 1, 3) | (6, 8, 0, 2) | t(4,3)               |
| 109 | (8, 8, 0, 2) | (7, 7, 5, 2) | t(3,0)               |
| 110 | (8, 8, 0, 3) | (8, 8, 5, 3) | t(3,0)               |
| 111 | (8, 8, 1, 2) | (7, 7, 0, 2) | t(3,1)               |
| 112 | (8, 8, 1, 3) | (8, 8, 0, 3) | t(3,1)               |
| 113 | (8, 0, 0, 2) | (7, 8, 5, 2) | t(3,0)               |
| 114 | (8, 0, 0, 3) | (7, 0, 5, 2) | t(4,3)               |
| 115 | (8, 0, 1, 2) | (7, 8, 0, 1) | t(4,2)               |
| 116 | (8, 0, 1, 3) | (7, 8, 0, 2) | t(4,3)               |
| 117 | (8, 0, 1, 4) | (8, 0, 0, 4) | t(3,1)               |
| 118 | (8, 0, 2, 3) | (7, 8, 1, 2) | t(4,3)               |
| 119 | (8, 0, 2, 4) | (7, 0, 1, 4) | t(3,2)               |
| 120 | (8, 1, 1, 3) | (7, 0, 0, 2) | t(4,3)               |
| 121 | (8, 1, 1, 4) | (7, 0, 0, 3) | t(4,4)               |
| 122 | (8, 1, 2, 3) | (7, 0, 2, 2) | t(4,3)               |
| 123 | (8, 1, 2, 4) | (7, 0, 1, 3) | t(4,4)               |
| 124 | (9, 0, 1, 3) | (8, 8, 0, 2) | t(4,3)               |
| 125 | (9, 0, 1, 4) | (8, 0, 0, 4) | t(3,1)               |
| 126 | (9, 0, 2, 3) | (8, 8, 1, 2) | t(4,3)               |
| 127 | (9, 0, 2, 4) | (9, 0, 1, 4) | t(3,2)               |
| 128 | (9, 1, 1, 3) | (8, 0, 0, 3) | t(3,1)               |
| 129 | (9, 1, 1, 4) | (8, 1, 0, 3) | t(4,4)               |
| 130 | (9, 1, 2, 3) | (8, 0, 1, 2) | t(4,3)               |
| 131 | (9, 1, 2, 4) | (8, 0, 1, 3) | t(4,4)               |
| 132 | (9, 1, 2, 5) | (8, 1, 1, 4) | t(4,5)               |
| 133 | (9, 1, 3, 4) | (8, 1, 2, 3) | t(4,4)               |
| 134 | (9, 1, 3, 5) | (8, 1, 2, 5) | t(3,3)               |
| 135 | (9, 2, 2, 4) | (8, 2, 1, 3) | t(4,4)               |
| 136 | (9, 2, 2, 5) | (8, 1, 2, 4) | t(4,5)               |
| 137 | (9, 2, 3, 4) | (8, 2, 2, 3) | t(4,4)               |
| 138 | (9, 2, 3, 5) | (8, 2, 2, 4) | t(4,5)               |
| 139 | (10, 1, 2, 4) | (9, 0, 1, 3) | t(4,4)               |
| 140 | (10, 1, 2, 5) | (9, 0, 1, 5) | t(3,2)               |
| 141 | (10, 1, 3, 4) | (9, 0, 2, 3) | t(4,4)               |
| 142 | (10, 1, 3, 5) | (9, 0, 3, 5) | t(2,1)               |
| 143 | (10, 2, 2, 4) | (9, 1, 1, 3) | t(4,4)               |
| 144 | (10, 2, 2, 5) | (9, 1, 1, 4) | t(4,5)               |
| 145 | (10, 2, 3, 4) | (9, 1, 2, 3) | t(4,4)               |
| 146 | (10, 2, 3, 5) | (9, 1, 2, 4) | t(4,5)               |
| 147 | (10, 2, 3, 0) | (9, 1, 2, 5) | t(4,0)               |
| 148 | (10, 2, 4, 5) | (9, 1, 3, 4) | t(4,5)               |
| 149 | (10, 2, 4, 0) | (9, 1, 3, 5) | t(4,0)               |
| 150 | (10, 3, 3, 5) | (9, 2, 2, 4) | t(4,5)               |
| 151 | (10, 3, 3, 0) | (9, 2, 2, 5) | t(4,0)               |
| 152 | (10, 3, 4, 5) | (9, 2, 3, 4) | t(4,5)               |
| 153 | (10, 3, 4, 0) | (9, 2, 3, 5) | t(4,0)               |
| 154 | (0, 2, 3, 5) | (10, 1, 2, 4) | t(4,5)               |
| 155 | (0, 2, 3, 0) | (0, 1, 2, 0) | t(3,3)               |
| 156 | (0, 2, 4, 5) | (10, 1, 3, 4) | t(4,5)               |
| 157 | (0, 2, 4, 0) | (0, 2, 3, 0) | t(3,4)               |
| 158 | (0, 3, 3, 5) | (10, 2, 2, 4) | t(4,5)               |
| 159 | (0, 3, 3, 0) | (10, 2, 2, 5) | t(4,0)               |
| 160 | (0, 3, 4, 5) | (10, 2, 3, 4) | t(4,5)               |
| 161 | (0, 3, 4, 0) | (10, 2, 3, 5) | t(4,0)               |
| 162 | (0, 3, 4, 1) | (10, 2, 3, 0) | t(4,1)               |
| 163 | (0, 3, 5, 0) | (10, 2, 4, 5) | t(4,0)               |
| 164 | (0, 3, 5, 1) | (10, 2, 4, 0) | t(4,1)               |
