Reach to Deadlock States:
----------------------------------------------------------------------
| No. | State       | Previous State | Transition           |
| 792 | (4, 8, 4, 1) | (4, 7, 4, 1) | t(2,8)               |
| 793 | (4, 8, 4, 2) | (3, 7, 4, 1) | t(4,2)               |
| 794 | (4, 0, 4, 1) | (4, 0, 3, 0) | t(4,1)               |
| 795 | (4, 0, 4, 2) | (3, 0, 4, 1) | t(4,2)               |
| 796 | (4, 1, 5, 2) | (4, 1, 4, 1) | t(4,2)               |
| 797 | (4, 1, 5, 3) | (4, 1, 4, 3) | t(3,5)               |
| 798 | (5, 0, 5, 2) | (5, 8, 4, 1) | t(4,2)               |
| 799 | (5, 0, 5, 3) | (4, 8, 4, 2) | t(4,3)               |
| 800 | (5, 1, 5, 2) | (5, 1, 4, 2) | t(3,5)               |
| 801 | (5, 1, 5, 3) | (5, 0, 5, 2) | t(4,3)               |
| 802 | (5, 2, 0, 3) | (5, 2, 5, 2) | t(4,3)               |
| 803 | (5, 2, 0, 4) | (5, 2, 5, 3) | t(4,4)               |
| 804 | (6, 1, 0, 3) | (6, 0, 0, 2) | t(4,3)               |
| 805 | (6, 1, 0, 4) | (5, 0, 5, 3) | t(4,4)               |
| 806 | (6, 2, 0, 3) | (6, 2, 5, 3) | t(3,0)               |
| 807 | (6, 2, 0, 4) | (6, 2, 5, 3) | t(4,4)               |
| 808 | (7, 2, 1, 4) | (6, 1, 0, 4) | t(3,1)               |
| 809 | (7, 2, 1, 5) | (6, 1, 1, 4) | t(4,5)               |
| 810 | (8, 2, 2, 5) | (7, 1, 2, 4) | t(4,5)               |
| 811 | (8, 2, 2, 0) | (7, 2, 1, 5) | t(4,0)               |
| 812 | (9, 2, 3, 0) | (8, 2, 2, 5) | t(4,0)               |
| 813 | (9, 2, 3, 1) | (8, 2, 2, 0) | t(4,1)               |
| 814 | (9, 3, 4, 1) | (9, 3, 3, 0) | t(4,1)               |
| 815 | (9, 3, 4, 2) | (9, 3, 3, 1) | t(4,2)               |
| 816 | (10, 2, 4, 1) | (9, 1, 3, 0) | t(4,1)               |
| 817 | (10, 2, 4, 2) | (9, 1, 3, 1) | t(4,2)               |
| 818 | (10, 3, 4, 1) | (9, 2, 3, 0) | t(4,1)               |
| 819 | (10, 3, 4, 2) | (9, 2, 3, 1) | t(4,2)               |
| 820 | (10, 4, 5, 2) | (10, 4, 4, 1) | t(4,2)               |
| 821 | (10, 4, 5, 3) | (10, 4, 4, 2) | t(4,3)               |
| 822 | (0, 3, 5, 2) | (10, 2, 4, 1) | t(4,2)               |
| 823 | (0, 3, 5, 3) | (10, 2, 4, 2) | t(4,3)               |
| 824 | (0, 4, 5, 2) | (10, 3, 4, 1) | t(4,2)               |
| 825 | (0, 4, 5, 3) | (10, 3, 4, 2) | t(4,3)               |
| 826 | (0, 5, 0, 3) | (0, 5, 5, 2) | t(4,3)               |
| 827 | (0, 5, 0, 4) | (0, 5, 5, 3) | t(4,4)               |
| 828 | (1, 4, 0, 3) | (0, 3, 5, 2) | t(4,3)               |
| 829 | (1, 4, 0, 4) | (0, 3, 5, 3) | t(4,4)               |
| 830 | (1, 5, 0, 3) | (0, 4, 5, 2) | t(4,3)               |
| 831 | (1, 5, 0, 4) | (0, 4, 5, 3) | t(4,4)               |
| 832 | (1, 6, 1, 4) | (1, 6, 0, 4) | t(3,1)               |
| 833 | (1, 6, 1, 5) | (1, 6, 0, 5) | t(3,1)               |
| 834 | (2, 5, 1, 4) | (1, 4, 1, 4) | t(2,5)               |
| 835 | (2, 5, 1, 5) | (1, 4, 0, 5) | t(3,1)               |
| 836 | (2, 6, 1, 4) | (1, 5, 0, 3) | t(4,4)               |
| 837 | (2, 6, 1, 5) | (1, 5, 0, 4) | t(4,5)               |
| 838 | (2, 7, 2, 5) | (2, 7, 1, 5) | t(3,2)               |
| 839 | (2, 7, 2, 0) | (2, 7, 1, 0) | t(3,2)               |
| 840 | (3, 6, 2, 5) | (2, 5, 2, 4) | t(4,5)               |
| 841 | (3, 6, 2, 0) | (2, 6, 1, 0) | t(3,2)               |
| 842 | (3, 7, 2, 5) | (2, 6, 2, 4) | t(4,5)               |
| 843 | (3, 7, 2, 0) | (2, 6, 2, 5) | t(4,0)               |
| 844 | (3, 7, 2, 1) | (2, 6, 2, 0) | t(4,1)               |
| 845 | (3, 8, 2, 0) | (3, 8, 2, 5) | t(4,0)               |
| 846 | (3, 8, 2, 1) | (3, 7, 1, 1) | t(3,2)               |
| 847 | (4, 7, 2, 0) | (3, 6, 2, 5) | t(4,0)               |
| 848 | (4, 7, 2, 1) | (3, 7, 1, 0) | t(4,1)               |
| 849 | (4, 8, 2, 0) | (3, 7, 2, 5) | t(4,0)               |
| 850 | (4, 8, 2, 1) | (3, 7, 2, 0) | t(4,1)               |
| 851 | (4, 8, 3, 1) | (4, 7, 3, 1) | t(2,8)               |
| 852 | (4, 8, 3, 2) | (4, 7, 3, 2) | t(2,8)               |
| 853 | (4, 0, 2, 1) | (4, 0, 1, 0) | t(4,1)               |
| 854 | (4, 0, 3, 1) | (4, 0, 3, 0) | t(4,1)               |
| 855 | (4, 0, 3, 2) | (4, 0, 3, 1) | t(4,2)               |
| 856 | (5, 8, 2, 1) | (4, 7, 1, 0) | t(4,1)               |
| 857 | (5, 8, 3, 1) | (4, 7, 2, 0) | t(4,1)               |
| 858 | (5, 8, 3, 2) | (4, 7, 2, 1) | t(4,2)               |
| 859 | (5, 0, 3, 1) | (4, 8, 2, 0) | t(4,1)               |
| 860 | (5, 0, 3, 2) | (4, 8, 2, 1) | t(4,2)               |
| 861 | (5, 0, 4, 2) | (5, 8, 4, 1) | t(4,2)               |
| 862 | (5, 0, 4, 3) | (4, 8, 3, 2) | t(4,3)               |
| 863 | (5, 1, 3, 2) | (5, 1, 2, 1) | t(4,2)               |
| 864 | (5, 1, 4, 2) | (5, 1, 3, 1) | t(4,2)               |
| 865 | (5, 1, 4, 3) | (5, 1, 4, 2) | t(4,3)               |
| 866 | (6, 0, 3, 2) | (5, 8, 2, 1) | t(4,2)               |
| 867 | (6, 0, 4, 2) | (5, 8, 3, 1) | t(4,2)               |
| 868 | (6, 0, 4, 3) | (5, 8, 3, 2) | t(4,3)               |
| 869 | (6, 1, 4, 2) | (5, 0, 3, 1) | t(4,2)               |
| 870 | (6, 1, 4, 3) | (5, 0, 3, 2) | t(4,3)               |
| 871 | (6, 1, 5, 3) | (6, 1, 5, 2) | t(4,3)               |
| 872 | (6, 1, 5, 4) | (5, 0, 4, 3) | t(4,4)               |
| 873 | (6, 2, 4, 3) | (6, 2, 3, 3) | t(3,4)               |
| 874 | (6, 2, 5, 3) | (6, 2, 4, 2) | t(4,3)               |
| 875 | (6, 2, 5, 4) | (6, 2, 4, 3) | t(4,4)               |
| 876 | (7, 1, 4, 3) | (6, 0, 3, 2) | t(4,3)               |
| 877 | (7, 1, 5, 3) | (6, 0, 4, 2) | t(4,3)               |
| 878 | (7, 1, 5, 4) | (6, 0, 4, 3) | t(4,4)               |
| 879 | (7, 2, 5, 3) | (6, 1, 4, 2) | t(4,3)               |
| 880 | (7, 2, 5, 4) | (6, 1, 4, 3) | t(4,4)               |
| 881 | (7, 2, 0, 4) | (7, 1, 0, 3) | t(4,4)               |
| 882 | (7, 2, 0, 5) | (7, 2, 0, 4) | t(4,5)               |
| 883 | (8, 2, 0, 4) | (7, 2, 5, 3) | t(4,4)               |
| 884 | (8, 2, 0, 5) | (7, 2, 5, 4) | t(4,5)               |
| 885 | (8, 2, 1, 5) | (7, 2, 1, 4) | t(4,5)               |
| 886 | (8, 2, 1, 0) | (7, 2, 0, 5) | t(4,0)               |
| 887 | (9, 2, 1, 5) | (8, 2, 0, 4) | t(4,5)               |
| 888 | (9, 2, 1, 0) | (8, 2, 0, 5) | t(4,0)               |
| 889 | (9, 2, 2, 0) | (8, 2, 1, 5) | t(4,0)               |
| 890 | (9, 2, 2, 1) | (8, 1, 2, 1) | t(2,2)               |
| 891 | (9, 3, 1, 0) | (9, 3, 0, 5) | t(4,0)               |
| 892 | (9, 3, 2, 0) | (9, 3, 1, 5) | t(4,0)               |
| 893 | (9, 3, 2, 1) | (9, 3, 1, 0) | t(4,1)               |
| 894 | (10, 2, 1, 0) | (9, 1, 0, 5) | t(4,0)               |
| 895 | (10, 2, 2, 0) | (9, 1, 1, 5) | t(4,0)               |
| 896 | (10, 2, 2, 1) | (9, 1, 1, 0) | t(4,1)               |
| 897 | (10, 3, 2, 0) | (9, 2, 1, 5) | t(4,0)               |
| 898 | (10, 3, 2, 1) | (9, 2, 1, 0) | t(4,1)               |
| 899 | (10, 3, 3, 1) | (9, 2, 2, 0) | t(4,1)               |
| 900 | (10, 3, 3, 2) | (9, 2, 2, 1) | t(4,2)               |
| 901 | (10, 4, 2, 1) | (10, 4, 1, 0) | t(4,1)               |
| 902 | (10, 4, 3, 1) | (10, 4, 2, 0) | t(4,1)               |
| 903 | (10, 4, 3, 2) | (10, 4, 2, 1) | t(4,2)               |
| 904 | (0, 3, 2, 1) | (10, 2, 1, 0) | t(4,1)               |
| 905 | (0, 3, 3, 1) | (10, 2, 2, 0) | t(4,1)               |
| 906 | (0, 3, 3, 2) | (10, 2, 2, 1) | t(4,2)               |
| 907 | (0, 4, 3, 1) | (10, 3, 2, 0) | t(4,1)               |
| 908 | (0, 4, 3, 2) | (10, 3, 2, 1) | t(4,2)               |
| 909 | (0, 4, 4, 2) | (10, 3, 3, 1) | t(4,2)               |
| 910 | (0, 4, 4, 3) | (10, 3, 3, 2) | t(4,3)               |
| 911 | (0, 5, 3, 2) | (0, 5, 2, 1) | t(4,2)               |
| 912 | (0, 5, 4, 2) | (0, 5, 3, 1) | t(4,2)               |
| 913 | (0, 5, 4, 3) | (0, 5, 3, 2) | t(4,3)               |
| 914 | (1, 4, 3, 2) | (0, 3, 2, 1) | t(4,2)               |
| 915 | (1, 4, 4, 2) | (0, 3, 3, 1) | t(4,2)               |
| 916 | (1, 4, 4, 3) | (0, 3, 3, 2) | t(4,3)               |
| 917 | (1, 5, 4, 2) | (0, 4, 3, 1) | t(4,2)               |
| 918 | (1, 5, 4, 3) | (0, 4, 3, 2) | t(4,3)               |
| 919 | (1, 5, 5, 3) | (0, 4, 4, 2) | t(4,3)               |
| 920 | (1, 5, 5, 4) | (0, 4, 4, 3) | t(4,4)               |
| 921 | (1, 6, 4, 3) | (1, 6, 3, 2) | t(4,3)               |
| 922 | (1, 6, 5, 3) | (1, 6, 4, 2) | t(4,3)               |
| 923 | (1, 6, 5, 4) | (1, 6, 4, 3) | t(4,4)               |
| 924 | (2, 5, 4, 3) | (1, 4, 3, 2) | t(4,3)               |
| 925 | (2, 5, 5, 3) | (1, 4, 4, 2) | t(4,3)               |
| 926 | (2, 5, 5, 4) | (1, 4, 4, 3) | t(4,4)               |
| 927 | (2, 6, 5, 3) | (1, 5, 4, 2) | t(4,3)               |
| 928 | (2, 6, 0, 4) | (1, 5, 5, 3) | t(4,4)               |
| 929 | (2, 6, 0, 5) | (1, 5, 5, 4) | t(4,5)               |
| 930 | (2, 7, 0, 4) | (1, 7, 5, 4) | t(3,0)               |
| 931 | (2, 7, 0, 5) | (1, 7, 5, 5) | t(3,0)               |
| 932 | (3, 6, 0, 4) | (2, 6, 5, 3) | t(4,4)               |
| 933 | (3, 6, 0, 5) | (2, 5, 5, 4) | t(4,5)               |
| 934 | (3, 7, 0, 4) | (3, 7, 5, 4) | t(3,0)               |
| 935 | (3, 7, 1, 5) | (2, 6, 0, 4) | t(4,5)               |
| 936 | (3, 7, 1, 0) | (2, 6, 1, 5) | t(4,0)               |
| 937 | (3, 8, 1, 5) | (2, 8, 1, 4) | t(4,5)               |
| 938 | (3, 8, 1, 0) | (3, 8, 1, 5) | t(4,0)               |
| 939 | (4, 7, 1, 5) | (3, 6, 0, 4) | t(4,5)               |
| 940 | (4, 7, 1, 0) | (3, 6, 0, 5) | t(4,0)               |
| 941 | (4, 8, 1, 5) | (3, 7, 1, 5) | t(2,8)               |
| 942 | (4, 0, 2, 0) | (4, 0, 1, 0) | t(3,2)               |
| 943 | (5, 8, 2, 0) | (4, 7, 1, 5) | t(4,0)               |
| 944 | (5, 0, 2, 0) | (4, 8, 1, 5) | t(4,0)               |
| 945 | (5, 1, 3, 1) | (5, 1, 2, 0) | t(4,1)               |
| 946 | (6, 0, 3, 1) | (5, 8, 2, 0) | t(4,1)               |
| 947 | (6, 1, 3, 1) | (5, 0, 2, 0) | t(4,1)               |
| 948 | (6, 2, 4, 2) | (6, 2, 3, 2) | t(3,4)               |
| 949 | (7, 1, 4, 2) | (6, 0, 3, 1) | t(4,2)               |
| 950 | (9, 3, 1, 5) | (9, 3, 0, 4) | t(4,5)               |
| 951 | (10, 2, 1, 5) | (9, 1, 0, 4) | t(4,5)               |
| 952 | (10, 4, 2, 0) | (10, 4, 1, 5) | t(4,0)               |
| 953 | (0, 3, 2, 0) | (10, 2, 1, 5) | t(4,0)               |
| 954 | (0, 5, 3, 1) | (0, 5, 2, 0) | t(4,1)               |
| 955 | (1, 4, 3, 1) | (0, 3, 2, 0) | t(4,1)               |
| 956 | (1, 6, 4, 2) | (1, 6, 3, 1) | t(4,2)               |
| 957 | (2, 5, 4, 2) | (1, 4, 3, 1) | t(4,2)               |
| 958 | (3, 6, 4, 3) | (3, 6, 4, 2) | t(4,3)               |
| 959 | (3, 6, 5, 3) | (2, 5, 4, 3) | t(3,5)               |
| 960 | (4, 6, 5, 4) | (3, 5, 5, 3) | t(4,4)               |
| 961 | (4, 6, 5, 5) | (3, 5, 5, 4) | t(4,5)               |
| 962 | (4, 6, 0, 4) | (3, 6, 5, 3) | t(4,4)               |
| 963 | (4, 6, 0, 5) | (3, 5, 0, 4) | t(4,5)               |
| 964 | (4, 7, 5, 4) | (3, 7, 5, 4) | t(1,4)               |
| 965 | (4, 7, 0, 4) | (3, 7, 5, 4) | t(3,0)               |
| 966 | (5, 7, 0, 5) | (4, 6, 5, 4) | t(4,5)               |
| 967 | (5, 7, 0, 0) | (4, 6, 0, 5) | t(4,0)               |
| 968 | (5, 7, 1, 5) | (4, 6, 0, 4) | t(4,5)               |
| 969 | (5, 7, 1, 0) | (4, 6, 1, 0) | t(2,7)               |
| 970 | (5, 8, 0, 5) | (4, 8, 5, 5) | t(3,0)               |
| 971 | (5, 8, 1, 5) | (4, 8, 0, 5) | t(3,1)               |
| 972 | (6, 8, 1, 0) | (5, 7, 0, 5) | t(4,0)               |
| 973 | (6, 8, 1, 1) | (5, 7, 1, 0) | t(4,1)               |
| 974 | (6, 8, 2, 0) | (5, 7, 1, 5) | t(4,0)               |
| 975 | (6, 8, 2, 1) | (5, 7, 1, 1) | t(3,2)               |
| 976 | (6, 0, 1, 0) | (6, 0, 0, 0) | t(3,1)               |
| 977 | (6, 0, 2, 0) | (5, 0, 1, 0) | t(3,2)               |
| 978 | (7, 0, 2, 1) | (6, 8, 1, 0) | t(4,1)               |
| 979 | (7, 0, 2, 2) | (6, 8, 1, 1) | t(4,2)               |
| 980 | (7, 0, 3, 1) | (6, 8, 2, 0) | t(4,1)               |
| 981 | (7, 0, 3, 2) | (6, 8, 2, 1) | t(4,2)               |
| 982 | (7, 1, 2, 1) | (6, 0, 1, 1) | t(3,2)               |
| 983 | (7, 1, 3, 1) | (7, 1, 2, 0) | t(4,1)               |
| 984 | (8, 1, 3, 2) | (7, 0, 2, 1) | t(4,2)               |
| 985 | (8, 1, 3, 3) | (7, 0, 3, 2) | t(4,3)               |
| 986 | (8, 1, 4, 2) | (7, 0, 3, 1) | t(4,2)               |
| 987 | (8, 1, 4, 3) | (7, 0, 4, 2) | t(4,3)               |
| 988 | (2, 8, 3, 2) | (2, 7, 2, 2) | t(3,3)               |
| 989 | (2, 8, 4, 3) | (1, 8, 3, 3) | t(3,4)               |
| 990 | (2, 8, 5, 3) | (1, 8, 4, 2) | t(4,3)               |
| 991 | (2, 0, 4, 2) | (1, 0, 3, 2) | t(3,4)               |
| 992 | (2, 0, 4, 3) | (2, 8, 3, 2) | t(4,3)               |
| 993 | (2, 0, 5, 2) | (1, 0, 4, 1) | t(4,2)               |
| 994 | (2, 0, 5, 3) | (1, 0, 4, 2) | t(4,3)               |
| 995 | (3, 8, 4, 3) | (3, 8, 4, 2) | t(4,3)               |
| 996 | (3, 0, 4, 3) | (3, 0, 4, 2) | t(4,3)               |
| 997 | (3, 0, 5, 4) | (2, 0, 5, 4) | t(1,3)               |
| 998 | (3, 0, 0, 4) | (2, 0, 5, 3) | t(4,4)               |
| 999 | (3, 1, 5, 3) | (3, 1, 5, 2) | t(4,3)               |
| 1000 | (3, 1, 5, 4) | (2, 0, 4, 3) | t(4,4)               |
| 1001 | (3, 1, 0, 3) | (3, 1, 0, 2) | t(4,3)               |
| 1002 | (3, 1, 0, 4) | (3, 1, 0, 3) | t(4,4)               |
| 1003 | (4, 0, 5, 4) | (3, 0, 5, 4) | t(1,4)               |
| 1004 | (4, 1, 5, 4) | (4, 1, 4, 3) | t(4,4)               |
| 1005 | (4, 1, 0, 5) | (4, 1, 5, 5) | t(3,0)               |
| 1006 | (4, 1, 1, 5) | (4, 1, 1, 4) | t(4,5)               |
| 1007 | (4, 2, 0, 4) | (3, 2, 5, 4) | t(3,0)               |
| 1008 | (4, 2, 0, 5) | (3, 1, 5, 4) | t(4,5)               |
| 1009 | (4, 2, 1, 4) | (4, 2, 0, 3) | t(4,4)               |
| 1010 | (4, 2, 1, 5) | (4, 2, 0, 4) | t(4,5)               |
| 1011 | (5, 1, 0, 5) | (5, 1, 5, 4) | t(4,5)               |
| 1012 | (5, 2, 0, 5) | (5, 2, 5, 4) | t(4,5)               |
| 1013 | (5, 2, 1, 0) | (5, 2, 0, 5) | t(4,0)               |
| 1014 | (5, 2, 2, 0) | (5, 2, 1, 0) | t(3,2)               |
| 1015 | (5, 3, 1, 5) | (5, 3, 0, 5) | t(3,1)               |
| 1016 | (5, 3, 1, 0) | (4, 2, 0, 5) | t(4,0)               |
| 1017 | (5, 3, 2, 5) | (5, 3, 1, 5) | t(3,2)               |
| 1018 | (5, 3, 2, 0) | (4, 3, 1, 5) | t(4,0)               |
| 1019 | (6, 2, 1, 0) | (6, 2, 0, 5) | t(4,0)               |
| 1020 | (6, 2, 2, 1) | (6, 2, 1, 0) | t(4,1)               |
| 1021 | (6, 2, 3, 1) | (6, 2, 2, 1) | t(3,3)               |
| 1022 | (7, 2, 2, 1) | (7, 2, 1, 0) | t(4,1)               |
| 1023 | (9, 2, 3, 2) | (8, 1, 3, 2) | t(2,2)               |
| 1024 | (9, 2, 3, 3) | (8, 1, 3, 3) | t(2,2)               |
| 1025 | (9, 3, 4, 3) | (9, 3, 3, 2) | t(4,3)               |
| 1026 | (9, 3, 4, 4) | (9, 3, 3, 3) | t(4,4)               |
| 1027 | (10, 2, 4, 3) | (9, 1, 3, 2) | t(4,3)               |
| 1028 | (10, 2, 4, 4) | (9, 1, 3, 3) | t(4,4)               |
| 1029 | (10, 3, 4, 3) | (9, 2, 3, 2) | t(4,3)               |
| 1030 | (10, 3, 4, 4) | (9, 2, 3, 3) | t(4,4)               |
| 1031 | (10, 4, 5, 4) | (10, 4, 4, 3) | t(4,4)               |
| 1032 | (10, 4, 5, 5) | (10, 4, 4, 4) | t(4,5)               |
| 1033 | (0, 3, 5, 4) | (10, 2, 4, 3) | t(4,4)               |
| 1034 | (0, 3, 5, 5) | (10, 2, 4, 4) | t(4,5)               |
| 1035 | (0, 4, 5, 4) | (10, 3, 4, 3) | t(4,4)               |
| 1036 | (0, 4, 5, 5) | (10, 3, 4, 4) | t(4,5)               |
| 1037 | (0, 5, 0, 5) | (0, 5, 5, 4) | t(4,5)               |
| 1038 | (0, 5, 0, 0) | (0, 5, 5, 5) | t(4,0)               |
| 1039 | (1, 4, 0, 5) | (0, 3, 5, 4) | t(4,5)               |
| 1040 | (1, 4, 0, 0) | (0, 3, 5, 5) | t(4,0)               |
| 1041 | (1, 5, 0, 5) | (0, 4, 5, 4) | t(4,5)               |
| 1042 | (1, 5, 0, 0) | (0, 4, 5, 5) | t(4,0)               |
| 1043 | (1, 6, 1, 0) | (0, 6, 0, 5) | t(4,0)               |
| 1044 | (1, 6, 1, 1) | (1, 6, 0, 1) | t(3,1)               |
| 1045 | (2, 5, 1, 0) | (1, 4, 0, 0) | t(3,1)               |
| 1046 | (2, 5, 1, 1) | (1, 4, 1, 0) | t(4,1)               |
| 1047 | (2, 6, 1, 0) | (1, 5, 0, 5) | t(4,0)               |
| 1048 | (2, 6, 1, 1) | (1, 5, 0, 0) | t(4,1)               |
| 1049 | (2, 7, 2, 1) | (2, 7, 1, 1) | t(3,2)               |
| 1050 | (2, 7, 2, 2) | (2, 6, 1, 1) | t(4,2)               |
| 1051 | (3, 6, 2, 1) | (2, 5, 2, 0) | t(4,1)               |
| 1052 | (3, 6, 2, 2) | (2, 6, 1, 2) | t(3,2)               |
| 1053 | (3, 7, 2, 2) | (2, 6, 2, 1) | t(4,2)               |
| 1054 | (3, 8, 2, 2) | (3, 7, 1, 2) | t(3,2)               |
| 1055 | (4, 7, 2, 2) | (3, 7, 2, 1) | t(4,2)               |
| 1056 | (4, 8, 3, 3) | (4, 8, 2, 3) | t(3,3)               |
| 1057 | (4, 0, 3, 3) | (4, 0, 3, 2) | t(4,3)               |
| 1058 | (5, 8, 3, 3) | (4, 8, 2, 3) | t(3,3)               |
| 1059 | (5, 0, 4, 4) | (4, 0, 3, 3) | t(4,4)               |
| 1060 | (5, 1, 4, 4) | (5, 1, 4, 3) | t(4,4)               |
| 1061 | (6, 0, 4, 4) | (5, 0, 4, 4) | t(1,6)               |
| 1062 | (6, 1, 5, 5) | (6, 1, 4, 5) | t(3,5)               |
| 1063 | (6, 2, 5, 5) | (6, 2, 4, 4) | t(4,5)               |
| 1064 | (7, 1, 5, 5) | (7, 1, 4, 5) | t(3,5)               |
| 1065 | (7, 2, 0, 0) | (6, 2, 5, 5) | t(4,0)               |
| 1066 | (8, 2, 1, 1) | (7, 2, 0, 0) | t(4,1)               |
| 1067 | (9, 2, 2, 2) | (8, 2, 1, 1) | t(4,2)               |
| 1068 | (9, 3, 2, 2) | (9, 3, 1, 1) | t(4,2)               |
| 1069 | (10, 2, 2, 2) | (9, 1, 1, 1) | t(4,2)               |
| 1070 | (10, 3, 3, 3) | (9, 2, 2, 2) | t(4,3)               |
| 1071 | (10, 4, 3, 3) | (10, 4, 2, 2) | t(4,3)               |
| 1072 | (0, 3, 3, 3) | (10, 2, 2, 2) | t(4,3)               |
| 1073 | (0, 4, 4, 4) | (10, 3, 3, 3) | t(4,4)               |
| 1074 | (0, 5, 4, 4) | (0, 5, 3, 3) | t(4,4)               |
| 1075 | (1, 4, 4, 4) | (0, 3, 4, 3) | t(4,4)               |
| 1076 | (1, 5, 5, 5) | (0, 4, 4, 4) | t(4,5)               |
| 1077 | (1, 6, 5, 5) | (1, 6, 4, 4) | t(4,5)               |
| 1078 | (2, 5, 5, 5) | (1, 4, 5, 4) | t(4,5)               |
| 1079 | (2, 6, 0, 0) | (1, 5, 5, 5) | t(4,0)               |
| 1080 | (2, 7, 0, 0) | (1, 7, 5, 0) | t(3,0)               |
| 1081 | (3, 6, 0, 0) | (2, 6, 0, 5) | t(4,0)               |
| 1082 | (3, 7, 1, 1) | (2, 6, 0, 1) | t(3,1)               |
| 1083 | (3, 8, 1, 1) | (3, 8, 1, 0) | t(4,1)               |
| 1084 | (4, 7, 1, 1) | (3, 7, 0, 1) | t(3,1)               |
| 1085 | (3, 5, 4, 4) | (3, 5, 4, 3) | t(4,4)               |
| 1086 | (3, 5, 4, 5) | (3, 5, 4, 4) | t(4,5)               |
| 1087 | (3, 5, 5, 4) | (2, 4, 4, 3) | t(4,4)               |
| 1088 | (3, 5, 5, 5) | (2, 4, 4, 4) | t(4,5)               |
| 1089 | (4, 6, 5, 0) | (3, 5, 5, 5) | t(4,0)               |
| 1090 | (4, 6, 0, 0) | (3, 6, 0, 0) | t(1,4)               |
| 1091 | (5, 7, 0, 1) | (4, 6, 0, 1) | t(2,7)               |
| 1092 | (5, 7, 1, 1) | (4, 6, 1, 1) | t(2,7)               |
| 1093 | (6, 8, 1, 2) | (5, 7, 0, 2) | t(3,1)               |
| 1094 | (6, 8, 2, 2) | (5, 7, 1, 2) | t(3,2)               |
| 1095 | (7, 0, 2, 3) | (6, 8, 1, 2) | t(4,3)               |
| 1096 | (7, 0, 3, 3) | (6, 8, 2, 2) | t(4,3)               |
| 1097 | (8, 1, 3, 4) | (7, 0, 2, 3) | t(4,4)               |
| 1098 | (8, 1, 4, 4) | (7, 0, 3, 3) | t(4,4)               |
| 1099 | (9, 3, 4, 5) | (9, 3, 3, 4) | t(4,5)               |
| 1100 | (9, 3, 4, 0) | (9, 3, 3, 5) | t(4,0)               |
| 1101 | (10, 4, 5, 0) | (10, 4, 4, 5) | t(4,0)               |
| 1102 | (10, 4, 5, 1) | (10, 4, 4, 0) | t(4,1)               |
| 1103 | (0, 5, 0, 1) | (0, 5, 5, 0) | t(4,1)               |
| 1104 | (0, 5, 0, 2) | (0, 5, 5, 1) | t(4,2)               |
| 1105 | (1, 6, 1, 2) | (1, 6, 0, 2) | t(3,1)               |
| 1106 | (1, 6, 1, 3) | (1, 6, 0, 3) | t(3,1)               |
| 1107 | (3, 7, 2, 4) | (2, 6, 1, 4) | t(3,2)               |
| 1108 | (4, 7, 3, 0) | (4, 6, 3, 0) | t(2,7)               |
| 1109 | (4, 8, 2, 5) | (3, 7, 2, 4) | t(4,5)               |
| 1110 | (4, 8, 3, 5) | (4, 8, 3, 4) | t(4,5)               |
| 1111 | (4, 8, 3, 0) | (4, 7, 3, 0) | t(2,8)               |
| 1112 | (5, 7, 2, 0) | (4, 6, 2, 0) | t(2,7)               |
| 1113 | (5, 8, 2, 5) | (4, 8, 1, 4) | t(4,5)               |
| 1114 | (5, 8, 4, 1) | (4, 7, 4, 1) | t(2,8)               |
| 1115 | (5, 0, 3, 0) | (4, 8, 2, 5) | t(4,0)               |
| 1116 | (5, 0, 4, 0) | (4, 0, 3, 0) | t(3,4)               |
| 1117 | (5, 0, 4, 1) | (5, 8, 4, 1) | t(2,0)               |
| 1118 | (6, 8, 3, 1) | (5, 7, 2, 1) | t(3,3)               |
| 1119 | (6, 0, 3, 0) | (5, 0, 2, 5) | t(4,0)               |
| 1120 | (6, 0, 5, 2) | (5, 8, 4, 1) | t(4,2)               |
| 1121 | (6, 1, 4, 1) | (5, 0, 3, 0) | t(4,1)               |
| 1122 | (6, 1, 5, 1) | (6, 1, 4, 0) | t(4,1)               |
| 1123 | (6, 1, 5, 2) | (6, 1, 5, 1) | t(4,2)               |
| 1124 | (7, 0, 4, 2) | (6, 8, 3, 1) | t(4,2)               |
| 1125 | (7, 1, 4, 1) | (7, 1, 3, 1) | t(3,4)               |
| 1126 | (7, 1, 0, 3) | (7, 0, 0, 2) | t(4,3)               |
| 1127 | (7, 2, 5, 2) | (6, 1, 4, 1) | t(4,2)               |
| 1128 | (7, 2, 0, 2) | (7, 2, 5, 1) | t(4,2)               |
| 1129 | (7, 2, 0, 3) | (7, 1, 0, 3) | t(2,2)               |
| 1130 | (8, 1, 5, 3) | (7, 0, 4, 3) | t(3,5)               |
| 1131 | (8, 2, 1, 4) | (8, 1, 1, 3) | t(4,4)               |
| 1132 | (9, 3, 2, 5) | (9, 3, 1, 4) | t(4,5)               |
| 1133 | (10, 4, 3, 0) | (10, 4, 2, 5) | t(4,0)               |
| 1134 | (0, 5, 4, 1) | (0, 5, 3, 0) | t(4,1)               |
| 1135 | (1, 6, 5, 2) | (1, 6, 4, 1) | t(4,2)               |
| 1136 | (4, 7, 5, 2) | (3, 6, 5, 1) | t(4,2)               |
